"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","MemoryCD4T","NaiveCD8T","MemoryCD8T","NKT","NKcells","Dendritic","CMonocytes","NMonocyte"
"SLC16A3",0.0824346574070424,0.109711416329109,0.49101490668148,0.0496367770683956,0.163295251863034,0.0658535396397555,0.261956553698762,0.114263629236829,0.16417691688907,0.406376096333966,0.934498137581849,0.890433978523819
"TNFAIP2",0.0282400410802243,0.0494858650415737,1.08888774831766,0.0286648215924405,0.0210627267555863,0.0224365006217206,0.0311607317628342,0.0265440416723065,0.0362500144524165,0.517176645698185,1.51857639754295,1.34577229551405
"SKAP2",0.158588328235612,0.68227759940866,0.77935692913197,0.0258350332015874,0.101139120259768,0.0443806315355487,0.261956553698762,0.248767993169057,0.420657989153403,0.893034352967648,0.956359204069973,0.935844084518233
"ACTN4",0.2666020110878,0.419895091907255,0.435733151110198,0.0916331711697032,0.514545280465362,0.0224365006217206,0.751401664035245,0.863679982414327,1.07983477142899,0.525012073687881,0.709509026623845,0.613498712313673
"LDLRAP1",0.190657980878867,0.175676265192647,0.0667672621800814,0.757365742984989,0.605693965405856,0.692328868019919,0.370174846404463,0.456372813890669,0.192487691555205,0.104314002125699,0.126674264842529,0.0966453886578975
"MIDN",0.133842593470908,0.427013120341693,0.988984992987138,0.548062589483801,0.46750746930091,0.609511953022093,0.77859185916975,0.774785718676482,0.96714164911947,0.810494479216771,1.30361440005426,1.24539298209975
"FPR1",0.0282400410802243,0.00361707478174195,0.282470243867493,0.00579907509324674,0.0117562413449513,0,0.00727760228530733,0.0395564346326721,0.00613366022663245,0.18424140005276,1.15753474783328,0.686816352486616
"PLP2",0.578239540153836,0.833292145434607,1.08040076110445,0.627214804150966,1.07255759861078,0.62177120004483,0.631998767408534,0.481615864647635,0.258758126077216,1.36165623498438,1.18922935819567,0.518237999403204
"SPON2",0.108468936055299,0.431730479599332,0.012475787560129,0.0385064921838242,0.0947056220347258,0.0443806315355487,0.624203741284046,1.66080882223781,2.41075874073905,0.104314002125699,0.0360651340797771,0.0787707958759096
"TPM4",0.776727663737069,0.515212458401033,0.790808115575845,0.276435373364466,0.682075399728278,0.18582443725348,0.655025770310787,0.940073433207623,0.840116592197253,0.848859046761229,0.892689784034958,0.68090773077311
