"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"TCOF1",0.158588328235612,0.802912497350487,0.673136299463219,0.18889922765115,0.272050988944634,0.264101481207402,0.343149900299751,0.222816306650063,0.358334894010521,0.29987726606989,0.345161621361001,0.598606178245334,0.727637622579403,0.377374102128296,0.337882785360015
"BRI3",0.2666020110878,0.532381485284545,1.59266354020144,0.610773080195288,0.555774405635233,0.579909552768408,0.657731959466945,0.404919640825512,0.532763007126923,0.62099743371001,0.522361721258909,1.13589310618832,1.67896583858593,2.22350488672485,2.27764812417148
"PILRA",0.00950223418992091,0.0143904560838575,0.726139141799124,0.0115647147161989,0.0117292046751361,0.0165389079404438,0,0.0224365006217206,0.0192904658137539,0.0265440416723065,0.0421659557766755,0.517765774558667,0.0196244028072359,1.02815093622872,1.38658477599233
"FKBP1A",1.00010022273949,0.910548661426588,1.38952522680197,0.719147197924242,1.00481242338476,0.921630958184958,0.941212516546678,0.597100549609767,0.7456427755683,1.01104283646696,0.821351061383421,1.48477637033527,1.3016784784663,1.72697038960781,1.94401019265947
"EZR",0.776727663737069,1.3218440592636,0.799311264487941,0.499850820824271,0.978553656983794,0.862700926276194,1.32282486669338,0.725824571316928,0.95254719029109,0.908045228944043,0.735209022805033,0.987449779795062,0.698497635422346,0.607777261073978,0.896821387960094
"GAPT",0,1.00903882651742,0.698429084128632,0.0101264183083991,0.00294522394837002,0.00208238443210045,0,0,0.00727760228530733,0,0.00613366022663245,0.69337409392737,1.58604082997919,0.545564802090843,0.480339793203837
"CD81",0.665367293719636,1.58310024977034,0.443820126459816,0.7148881482419,1.20478920563384,0.958273477621595,0.732019072602276,0.389668956740788,1.68088665055618,1.86780074822149,2.05314513219397,0.953179291905027,0.861816669751803,0.437274647397732,0.664978567145788
"CD93",0.0374789038308605,0.00722111347186383,0.351048919559379,0.00435245601591437,0.0261998550893666,0.0185871702047987,0,0,0.0121000785401907,0.0776075153743239,0.0362500144524165,0.248900253088654,0.112354428122231,1.15193489558018,0.589979992957299
"GZMK",0,0.129006679207427,0,0.0496367770683956,1.66500856076844,0.892172976185922,0.834027092251526,0,2.45127995238087,1.52704045671009,0.279906991749303,0.0388032919925977,0.164127073972558,0.0519358002250858,0.0895338455377689
"S100A12",0.182736469738196,0.0250490076470489,0.455829272735111,0.0144351162796491,0.0146401352294825,0.0247069043945267,0,0,0.0240554938719663,0.114263629236829,0.0302988663820689,0.349437010310626,0.260264683657995,2.72410362313916,0.359908039611388
"GABPB1-AS1",0.377258440926257,1.02866097529199,0.640593271533422,0.762126791656181,0.584131709033593,0.582241320094732,0.784323223382827,0.896971667793823,0.518368584199335,0.584188222019504,0.505804156126094,0.582952472168458,0.583739089396554,0.399862316594257,0.323866514259667
"CD300E",0.00950223418992091,0.0108122096982868,0.431665005786687,0.0115647147161989,0.0204366984568292,0.0165389079404438,0,0.0224365006217206,0.00727760228530733,0.0133600915191788,0.0122299279021762,0.396152705046224,0.0388710890033012,1.10616599724929,1.10707356851017
"CD99",1.0777792201673,1.13311860943072,1.03685054947305,0.798112273461645,1.64300526184024,1.58030258814825,1.65683006839977,0.532622055902502,1.85137166772753,2.03920777906599,2.17560757473449,1.15388180070569,1.53185156138221,1.31814490194798,0.487555975418166
"CST3",0.142159396677305,0.175676265192647,4.13318359108988,0.0755850493131657,0.0711470750926276,0.0915663518864201,0.0365405524020236,0.107463716009614,0.20608960898305,0.319611327682664,0.370965587118588,3.71097858286186,3.10656815421945,3.35448244277299,3.67837209857388
"REL",0.0374789038308605,1.15047078116298,1.01661661937113,0.263113197765648,0.324575680668844,0.358724730827029,0.343149900299751,0.374182082582144,0.473898731264167,0.357948226491748,0.594503651137273,1.01034742659468,0.718018334604383,0.876056562966181,0.98074607365977
"CD247",0.0646941336665096,0.534507034582596,0.0186557956849991,1.14384228749872,1.1333324028988,1.1398326621721,1.59836375298976,0.77927202206166,1.39648239807986,2.11502066646367,2.62379801662558,0.137114376965239,0.305075984915485,0.0508104965416345,0.0642374571445151
"CFP",0.0189150251689126,0.0108122096982868,1.52397269188635,0.154614371336372,0.0901935596633259,0.115993606177001,0.0717928288677425,0.0868750380602954,0.0240554938719663,0.114263629236829,0.0182892561769138,1.23926956932248,0.112354428122231,1.58858671740695,1.69615843884262
"SNHG7",0.251867607292544,1.30429918185459,0.8326187573943,1.08909973840152,0.743430254877758,0.77830282564127,0.784323223382827,1.14916557450352,0.648682386639443,0.684021039329299,0.538649592836208,0.970461336958909,1.37445349791822,0.562581865430215,0.3973221423869
"CD24",0,0.839571928219542,0.00625734931329726,0.00435245601591437,0,0.00208238443210045,0,0,0.00243175701114537,0,0,0.550890192538575,0,0.00413761522301071,0.0154901307808076
"GGA2",0.158588328235612,0.788193525714565,0.263359489237465,0.159584763683338,0.263022254803739,0.206445675331241,0.138774898119981,0.107463716009614,0.252544285438342,0.216799674388952,0.2611302091136,0.507610643463389,0.90281993240418,0.255740617097851,0.241523742070082
"S100A9",1.05476999312407,0.295832002105856,2.97929685284369,0.253003786050868,0.233102847637806,0.487014854519746,0.260617291890938,0.204491412000165,0.395083747735753,0.762312911050075,0.545804354799232,2.08265964238358,1.77412185755852,5.23453162233305,2.83464813361668
"CRIP1",0.919688454340039,0.804534645078929,0.603528607573607,0.455670325373612,1.35703931060152,1.21309636273626,0.881377024681308,0.127637037562366,1.07108907988135,1.31287565727152,1.16875374805932,1.20598417945335,0.886619815600333,1.06944483871421,0.898411885772773
"ITGAM",0.0374789038308605,0.141666406187455,0.218976263764664,0.0101264183083991,0.0982465810406826,0.0328087248429796,0.0717928288677425,0,0.291493954578886,0.561434267101493,0.802226639916222,0.270695233746051,0.0944835983706284,1.07208400642223,0.428313629078989
"TMEM154",0.23691285001877,0.900291662302122,0.557876632556919,0.227852909099474,0.298658150577369,0.265700921360577,0.598154964036988,0.0658535396397555,0.165657643178038,0.183775536560221,0.0994766370275923,0.589243389642072,0.0388710890033012,0.689201060317517,0.568108486364747
