"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"CFP",0.191514213484292,0.189862240627985,0.580594278044489,0.420607282804545,0.350393527079269,0.362717576402867,0.332526689682148,0.323900598034342,0.185656324843763,0.364548702914387,0.201796891234418,0.939474625742585,0.319068125948901,0.807936615319533,0.704149036722128
"SNHG7",0.381833737645029,0.971910389169724,0.573056805157272,0.886570564143795,0.798429208568721,0.738512207268934,0.689308254658919,0.809321987084604,0.738905488258495,0.69868345171986,0.687092000768045,0.823131064746378,0.860529721341463,0.628862616833997,0.514486594347195
"CD24",0.1,0.875035615812871,0.145969459140899,0.148519549796729,0.1,0.135624719415443,0.1,0.1,0.127382682422018,0.1,0.1,0.735960777991352,0.1,0.140437651080673,0.186101078729071
"GGA2",0.327557467206723,0.832158242809889,0.40201654217077,0.419241594632148,0.511774559096438,0.457645580963326,0.362863734037715,0.318690822740662,0.517590569713907,0.449266705752173,0.522425226099737,0.614887439152488,0.631063077011871,0.47505287951119,0.435245137199297
"S100A9",0.869948022617058,0.504913318848438,1.53680320712129,0.493595823897474,0.493531264611654,0.491274235571704,0.483388969004135,0.45200479464857,0.538642691796535,0.66622919022735,0.503871434511389,1.34203984248342,0.977567539214699,0.960085790185274,1.08204576918269
"CRIP1",0.826709347777656,0.755783089946041,0.591383169684401,0.650345214032535,1.01226049443379,0.910458354545054,0.721638358770469,0.321784521562786,0.952546004733361,0.806639034896782,0.988553497687224,0.855227173446839,0.807105353529895,0.914995695658932,0.774964696471022
"ITGAM",0.252616794167337,0.356347271448966,0.437884585389972,0.175014256822422,0.353995348336923,0.232915723242142,0.24923089952331,0.1,0.570574700137375,0.650665339920944,0.856463343654032,0.452304359440626,0.28654469384942,0.830220288049652,0.563924348701775
"TMEM154",0.405500572519972,0.88259160464612,0.550168022305315,0.484541387926722,0.552020910283399,0.509148468423452,0.61039963469329,0.265444211615405,0.419660186414046,0.43483747489235,0.346467215177763,0.601525565803703,0.27897419396392,0.706290101939313,0.574913312056316
"LGALS2",0.183975978854978,0.205631790611378,0.832432772517578,0.169100414455513,0.125078163189192,0.173135113921131,0.1,0.1,0.171768457372558,0.1,0.156541809969098,0.922125615120929,0.331704928411959,0.985942790763504,0.727575769357775
"TYMP",0.50792258022468,0.558880339277658,0.639586105235123,0.422594726823796,0.551184185752211,0.6147980963534,0.762657850261994,0.393636375668612,0.55150739097799,0.631340421714353,0.635855472967221,1.01838896824664,0.72760777767507,0.710191067811138,0.573585360382891
